English,Hyphenation,Pronunciation (British),Français,Césure,Español,Silabación 
Tithonian,Titho-ni-an,,Tithonien,Ti-tho-nien,Titoniense,Ti-to-nien-se
Toarcian,Toar-cian,,Toarcien,Toar-cien,Toarciense,To-ar-cien-se
Tonian,To-ni-an,,Tonien,To-nien,Tónico,Tó-ni-co
Tortonian,Tor-to-ni-an,,Tortonien,Tor-to-nien,Tortoniense,Tor-to-nien-se
Tournaisian,Tour-nai-si-an,,Tournaisien,Tour-nai-sien,Tournaisiense,Tour-nai-sien-se
Tremadocian,Tre-ma-do-ci-an,,Trémadocien,Tré-ma-do-cien,Tremadociense,Tre-ma-do-cien-se
Triassic,Tri-as-sic,ˌtɹaɪˈæˌsɪk,Trias,Trias,Triásico,Triá-si-co
Turonian,Tu-ro-ni-an,,Turonien,Tu-ro-nien,Turoniense,Tu-ro-nien-se
Valanginian,Valan-gin-i-an,,Valanginien,Va-lan-gi-nien,Valanginiense,Va-lan-gi-nien-se
Visean,Vise-an,,Viséen,Vi-séen,Viseense,Vi-se-en-se
Wenlock,Wen-lock,,Wenlock,Wen-lock,Wenlock,Wen-lock
Wordian,Wor-d-i-an,,Wordien,Wor-dien,Wordiense,Wor-dien-se
Wuchiapingian,Wu-chi-apin-gi-an,,Wuchiapingien,Wu-chia-pin-gien,Wuchiapingiense,Wu-chia-pin-gien-se
Wuliuan,Wu-li-uan,,Wuliuen,Wu-liuen,Wuliuense,Wu-liu-en-se
Ypresian,Ypre-sian,,Yprésien,Y-pré-sien,Ypresiense,Y-pre-sien-se
Zanclean,Zan-clean,,Zancléen,Zan-cléen,Zancliense,Zan-clien-se
"(,,,) to be validated, and completed ",,,,,,
Compilor: bruno Granier,,,,,,
Date: 2022/12/17,,,,,,
